seed,HEFT,DHEFT,NHEFT,time_sec
9095,283.09789999999975,53.63070000000001,41.615301665344965,3.7633469104766846
8562,218.83910000000012,51.7741,47.17148095545656,3.928502082824707
9815,146.85499999999988,46.99930000000001,40.11881555169418,3.539513111114502
1466,227.3470999999997,54.9161,43.79082585333325,3.7735249996185303
8480,372.0688000000002,58.86079999999999,42.2776026973027,4.119141101837158
3792,187.1173000000003,50.466499999999996,42.67138932772775,4.065124988555908
4697,147.28809999999987,47.3039,40.46655268539326,3.5994608402252197
1565,240.37249999999992,48.17600000000001,45.46845433183969,3.6342568397521973
5891,411.06980000000107,61.0434,66.79747359187444,3.559190034866333
8308,173.9250000000001,52.00240000000001,46.545545843568945,3.7306458950042725
4257,298.87300000000045,58.99399999999999,42.12714637681159,4.029428958892822
5733,168.92419999999953,47.935199999999995,43.723378417266176,3.657081127166748
2946,186.6638999999998,48.23829999999999,38.79035657070098,3.8708608150482178
1292,161.2505000000002,42.72680000000001,38.03465513126491,3.927090883255005
5439,158.1066000000002,47.188700000000004,39.702481230806974,4.176354885101318
1714,279.34930000000054,52.1004,47.460504389830504,3.7820329666137695
9200,278.85219999999947,51.14650000000001,40.37128421167883,3.8264310359954834
5804,190.4638000000003,55.9494,52.759402128668185,4.40627908706665
3154,181.42170000000016,52.827999999999996,51.52753687786259,3.2980728149414062
2195,361.3138000000005,52.502400000000016,47.74969346445226,3.416569232940674
3042,213.60220000000044,46.089600000000004,42.189308926417375,3.812516927719116
9808,204.3165999999998,44.1852,35.97025797101449,4.246485948562622
5407,223.64320000000023,61.23489999999999,49.86636429729472,3.2724950313568115
3782,190.70380000000023,46.6272,37.63264443598055,4.10895299911499
5410,292.60850000000005,44.1398,50.468373727272734,3.585489273071289
8428,198.30360000000047,45.10800000000001,40.38281355932204,3.562940835952759
7236,149.06640000000033,49.6638,43.27591980877743,3.874027967453003
2085,173.61760000000018,47.39730000000001,39.94954673378839,2.740999221801758
2139,227.69139999999993,48.464,38.85987169486405,3.8145132064819336
6801,257.3384000000008,49.425799999999995,41.273087179487185,3.6436941623687744
6820,182.18219999999997,50.3827,42.805381310067446,4.526802062988281
3830,376.3369000000004,64.1231,49.9425550522648,3.593520164489746
7975,156.5734999999997,44.6851,40.79904168253968,3.084683895111084
3469,334.3633,58.976299999999995,52.811044086021504,3.5223190784454346
1454,241.78119999999987,51.62319999999999,42.80065582047686,3.5864977836608887
2573,179.70829999999953,50.0324,37.39898332931728,3.300581932067871
3931,233.01780000000016,53.754799999999996,39.60627767653759,3.5240180492401123
5445,220.63039999999998,50.595299999999995,48.48999898302955,3.5417587757110596
5745,322.63980000000026,58.6091,53.83168828403592,3.3684771060943604
7167,325.1001,53.55309999999999,49.229390428211595,4.722306728363037
7597,215.44120000000018,48.8223,45.65554118092354,4.06119704246521
7005,172.92190000000022,46.961,42.50088460038987,3.6008427143096924
3239,178.74499999999972,42.0452,41.210563194893226,3.3387060165405273
4331,221.3428,53.33530000000001,47.1552,3.3771650791168213
5960,272.0233999999997,53.32820000000001,47.917003777777786,3.699612855911255
1284,157.7082999999999,46.75959999999999,50.77154694222833,3.7164900302886963
2402,304.96720000000045,57.351800000000004,58.766994768546,3.8842978477478027
8146,165.15290000000013,44.06549999999999,44.88727704159732,4.25675892829895
1786,235.5384000000002,51.22129999999999,45.889433333333336,3.222076892852783
8911,178.59289999999987,47.58650000000001,45.45658461538461,4.41629695892334
7510,411.6731999999997,60.191499999999984,56.18634471544715,2.803256034851074
6556,158.8086,49.44740000000001,40.46846761162677,3.367316961288452
5726,222.57369999999977,54.979800000000004,44.8061,4.114017009735107
2935,187.66680000000073,51.1354,49.385046126353785,4.426949977874756
7223,226.6379999999995,49.718399999999995,46.292164061358655,3.5792629718780518
1405,191.79830000000007,47.33859999999999,44.97300411985018,3.5633158683776855
6792,281.30989999999997,51.308,38.19771231928182,3.579586982727051
7527,263.97420000000045,52.367500000000014,45.448010575803984,3.067641019821167
3965,253.4685000000001,46.69929999999999,39.723027890756306,3.3991780281066895
9686,195.7755000000001,45.2708,38.09382716167744,3.1356618404388428
2054,141.23840000000004,45.27089999999998,44.34377222222223,3.6353859901428223
7502,305.5785999999997,50.72310000000001,47.62334790996785,3.6643338203430176
5872,174.15839999999974,54.61540000000001,53.284649945450816,3.6025562286376953
1751,154.40950000000012,49.35409999999999,49.354056804733716,3.733976125717163
5095,146.38979999999992,39.5043,42.43452822202487,3.4535961151123047
8465,209.89820000000012,61.20700000000001,47.32254444444444,3.9421591758728027
8504,301.6291999999994,49.8769,39.85027776993649,3.7379226684570312
8819,191.54790000000037,49.0662,43.35920321489092,3.502808094024658
4921,343.51860000000084,54.224,66.84419999999999,3.5957589149475098
