bucket_key,seed,is_complete,completed_variants,missing_variants
e11x,211351,True,"baseline,comp_advantage",
e11x,212694,True,"baseline,comp_advantage",
e11x,215549,True,"baseline,comp_advantage",
e11x,220410,True,"baseline,comp_advantage",
e11x,223610,True,"baseline,comp_advantage",
e11x,223716,True,"baseline,comp_advantage",
e11x,224195,True,"baseline,comp_advantage",
e11x,224478,True,"baseline,comp_advantage",
e11x,224701,True,"baseline,comp_advantage",
e11x,226267,True,"baseline,comp_advantage",
e11x,226589,True,"baseline,comp_advantage",
e11x,229225,True,"baseline,comp_advantage",
e11x,231332,True,"baseline,comp_advantage",
e11x,232555,True,"baseline,comp_advantage",
e11x,236634,True,"baseline,comp_advantage",
e11x,237902,True,"baseline,comp_advantage",
e11x,238922,True,"baseline,comp_advantage",
e11x,239617,True,"baseline,comp_advantage",
e11x,239744,True,"baseline,comp_advantage",
e11x,239950,True,"baseline,comp_advantage",
e11x,240715,True,"baseline,comp_advantage",
e11x,241117,True,"baseline,comp_advantage",
e11x,241442,True,"baseline,comp_advantage",
e11x,245421,True,"baseline,comp_advantage",
e11x,245466,True,"baseline,comp_advantage",
e11x,245576,True,"baseline,comp_advantage",
e11x,245912,True,"baseline,comp_advantage",
e11x,246441,True,"baseline,comp_advantage",
e11x,254791,True,"baseline,comp_advantage",
e11x,255407,True,"baseline,comp_advantage",
e11x,258973,True,"baseline,comp_advantage",
e11x,262875,True,"baseline,comp_advantage",
e11x,263035,True,"baseline,comp_advantage",
e11x,266300,True,"baseline,comp_advantage",
e11x,266747,True,"baseline,comp_advantage",
e11x,267093,True,"baseline,comp_advantage",
e11x,268333,True,"baseline,comp_advantage",
e11x,270600,True,"baseline,comp_advantage",
e11x,271983,True,"baseline,comp_advantage",
e11x,273040,True,"baseline,comp_advantage",
e11x,273298,True,"baseline,comp_advantage",
e11x,276209,True,"baseline,comp_advantage",
e11x,282114,True,"baseline,comp_advantage",
e11x,282392,True,"baseline,comp_advantage",
e11x,282842,True,"baseline,comp_advantage",
e11x,287728,True,"baseline,comp_advantage",
e11x,289817,True,"baseline,comp_advantage",
e11x,291361,True,"baseline,comp_advantage",
e11x,293374,True,"baseline,comp_advantage",
e11x,296343,True,"baseline,comp_advantage",
e11x,296947,True,"baseline,comp_advantage",
e11x,302326,True,"baseline,comp_advantage",
e11x,303068,True,"baseline,comp_advantage",
e11x,305476,True,"baseline,comp_advantage",
e11x,312904,True,"baseline,comp_advantage",
e11x,314686,True,"baseline,comp_advantage",
e11x,317399,True,"baseline,comp_advantage",
e11x,320372,True,"baseline,comp_advantage",
e11x,321337,True,"baseline,comp_advantage",
e11x,324404,True,"baseline,comp_advantage",
e11x,325099,True,"baseline,comp_advantage",
e11x,327054,True,"baseline,comp_advantage",
e11x,328439,True,"baseline,comp_advantage",
e11x,333017,True,"baseline,comp_advantage",
e11x,333143,True,"baseline,comp_advantage",
e11x,336806,True,"baseline,comp_advantage",
e11x,342204,True,"baseline,comp_advantage",
e11x,344401,True,"baseline,comp_advantage",
e11x,353215,True,"baseline,comp_advantage",
e11x,353884,True,"baseline,comp_advantage",
e11x,354388,True,"baseline,comp_advantage",
e11x,355619,True,"baseline,comp_advantage",
e11x,356002,True,"baseline,comp_advantage",
e11x,357820,True,"baseline,comp_advantage",
e11x,359039,True,"baseline,comp_advantage",
e11x,361299,True,"baseline,comp_advantage",
e11x,362804,True,"baseline,comp_advantage",
e11x,365837,True,"baseline,comp_advantage",
e11x,366120,True,"baseline,comp_advantage",
e11x,368863,True,"baseline,comp_advantage",
e11x,370191,True,"baseline,comp_advantage",
e11x,372049,True,"baseline,comp_advantage",
e11x,372755,True,"baseline,comp_advantage",
e11x,374908,True,"baseline,comp_advantage",
e11x,378648,True,"baseline,comp_advantage",
e11x,385324,True,"baseline,comp_advantage",
e11x,385502,True,"baseline,comp_advantage",
e11x,386385,True,"baseline,comp_advantage",
e11x,386832,True,"baseline,comp_advantage",
e11x,388451,True,"baseline,comp_advantage",
e11x,389228,True,"baseline,comp_advantage",
e11x,392733,True,"baseline,comp_advantage",
e11x,394465,True,"baseline,comp_advantage",
e11x,397055,True,"baseline,comp_advantage",
e11x,397234,True,"baseline,comp_advantage",
e11x,397414,True,"baseline,comp_advantage",
e11x,399493,True,"baseline,comp_advantage",
e11x,401997,True,"baseline,comp_advantage",
e11x,408636,True,"baseline,comp_advantage",
e11x,411283,True,"baseline,comp_advantage",
e11x,412384,True,"baseline,comp_advantage",
e11x,416284,True,"baseline,comp_advantage",
e11x,416581,True,"baseline,comp_advantage",
e11x,422970,True,"baseline,comp_advantage",
e11x,430515,True,"baseline,comp_advantage",
e11x,431396,True,"baseline,comp_advantage",
e11x,431617,True,"baseline,comp_advantage",
e11x,432977,True,"baseline,comp_advantage",
e11x,435308,True,"baseline,comp_advantage",
e11x,437809,True,"baseline,comp_advantage",
e11x,437866,True,"baseline,comp_advantage",
e11x,440123,True,"baseline,comp_advantage",
e11x,440653,True,"baseline,comp_advantage",
e11x,441554,True,"baseline,comp_advantage",
e11x,444933,True,"baseline,comp_advantage",
e11x,445144,True,"baseline,comp_advantage",
