vnf_type_max,sfc_vnf_num,multiple_sfc_num,per_sfc_vnf_num,expected_tasks_per_type,seed,HEFT,DHEFT,NHEFT,time_sec
4,40,4,10,10,8504,1467.7061999999999,149.7422,47.908901,1.3272218704223633
4,40,4,10,10,8819,1451.066999999999,144.42360000000002,52.82823333333334,1.0305438041687012
4,40,4,10,10,4921,1339.3959000000007,130.67270000000005,41.25846666666666,1.249671220779419
8,80,4,20,10,6347,3232.841100000001,308.90420000000006,56.20666666666665,1.6388638019561768
8,80,4,20,10,7536,2575.0904999999993,263.4653,56.26406666666667,2.0206410884857178
8,80,4,20,10,4078,2759.3912000000005,273.4226000000001,48.50643533333333,1.5178048610687256
8,80,4,20,10,4726,2813.0992000000006,292.1091,56.42496666666667,1.8130791187286377
8,80,4,20,10,5978,3018.6043000000022,293.43680000000006,52.984234333333326,1.993812084197998
8,80,4,20,10,8836,3273.1172000000015,329.72330000000005,53.91600100000001,2.287647008895874
8,80,4,20,10,3380,3329.314599999998,326.6437,55.664393233082706,1.5559961795806885
8,80,4,20,10,3669,2843.881799999999,278.93660000000006,54.73466666666667,1.5007150173187256
8,80,4,20,10,7882,2767.139099999999,283.5129,53.22883333333332,1.892780065536499
8,80,4,20,10,2503,2693.851600000001,268.28670000000005,63.986548222222225,1.5064656734466553
8,80,4,20,10,5802,3498.2344000000003,346.1013000000001,54.90510400000001,1.405677080154419
8,80,4,20,10,6455,2955.7176999999983,293.1730999999999,55.46593333333334,1.8115262985229492
8,80,4,20,10,5608,3067.0914000000007,332.8331,55.89660000000001,1.6763279438018799
8,80,4,20,10,8258,3070.6662000000024,310.41150000000005,52.989766666666675,1.754058837890625
8,80,4,20,10,7486,2608.165,258.6010999999999,43.76433333333333,1.7991740703582764
8,80,4,20,10,1839,2969.1164999999996,298.12200000000007,50.005167666666665,1.287869930267334
8,80,4,20,10,3282,2872.8885000000005,283.20309999999995,48.85186766666667,1.72902512550354
8,80,4,20,10,3216,2889.7778999999987,282.3007,53.665533333333336,2.3972270488739014
8,80,4,20,10,9034,2737.4424000000013,269.50280000000004,51.59363433333335,1.5748679637908936
8,80,4,20,10,7143,2771.7403999999988,273.0838,49.13436866666666,1.5362372398376465
8,80,4,20,10,2446,3586.5997000000034,362.5571,54.71056666666668,1.758450984954834
8,80,4,20,10,5924,2850.6988,287.6551000000001,54.462199999999996,1.9003798961639404
8,80,4,20,10,8881,2431.789200000001,254.73489999999998,45.405566666666665,2.0282487869262695
8,80,4,20,10,6634,2564.8073000000018,249.34699999999998,49.6023,1.702343225479126
8,80,4,20,10,3097,2865.3573000000006,300.9985999999999,50.3877,1.5231118202209473
8,80,4,20,10,1211,2538.7975000000006,260.49270000000007,46.847202999999986,2.009270191192627
8,80,4,20,10,1921,2525.8498,266.00169999999997,45.64749973417721,1.8166966438293457
8,80,4,20,10,2740,3157.693799999998,321.06839999999994,53.09472362204725,2.1077539920806885
8,80,4,20,10,3306,2532.0752000000016,255.8447,46.970301,1.6117448806762695
8,80,4,20,10,4366,2652.8216,271.9974,50.4611,1.8142530918121338
8,80,4,20,10,5455,3238.9230999999963,317.52189999999985,59.7198,1.782947063446045
8,80,4,20,10,9095,2768.1492000000017,270.3038999999998,50.636503,2.030971050262451
8,80,4,20,10,8562,3228.6087000000007,319.7287000000001,61.78912933333332,1.9893019199371338
8,80,4,20,10,9815,2381.6329999999994,230.72759999999994,44.44636666666667,1.664935827255249
8,80,4,20,10,1466,2906.0494000000026,294.90610000000004,51.87883333333333,1.649933099746704
8,80,4,20,10,8480,2823.5999999999995,289.40719999999993,53.7785,2.077162027359009
8,80,4,20,10,3792,3239.3948000000023,326.6053000000001,55.84030000000001,1.9467120170593262
8,80,4,20,10,4697,2802.9804999999983,282.1961,51.946734333333346,1.7773351669311523
8,80,4,20,10,1565,2982.6066999999985,295.95250000000004,52.717501000000006,1.7690918445587158
8,80,4,20,10,5891,3289.2745999999993,324.1876,73.6785293361111,1.6858010292053223
8,80,4,20,10,8308,2962.5762000000013,293.41980000000007,53.74736666666665,1.7643330097198486
8,80,4,20,10,4257,2914.578099999999,290.86489999999986,48.589299999999994,1.791193962097168
8,80,4,20,10,5733,2941.5158999999985,287.8258,56.51793333333333,1.4316539764404297
8,80,4,20,10,2946,2502.541399999999,263.75239999999997,51.656501,1.752694845199585
