vnf_type_min,vnf_type_max,seed,HEFT,DHEFT,NHEFT,time_sec
1,5,1466,1813.8107999999993,24.386999999999993,9.0784,6.998869180679321
1,5,8480,2242.8356000000076,28.44170000000002,13.62775245901639,8.95379090309143
1,5,3792,2361.8120000000076,29.780600000000018,10.2935,7.352359056472778
1,5,4697,1550.427200000005,22.03660000000001,10.06253103448276,8.15420913696289
1,5,1565,1810.6098999999963,24.035399999999992,10.025674358974358,7.623480796813965
1,5,5891,2224.6581999999976,29.983200000000007,13.977101,8.125855922698975
1,5,8308,2183.0780999999956,31.873700000000014,9.313467130008178,7.541416883468628
1,5,4257,1862.7712999999937,26.290100000000002,12.63944640198511,10.99378514289856
1,5,5733,1986.7006999999974,26.735900000000015,11.894801,7.563821077346802
1,5,2946,1615.1866999999982,22.031,9.3365,8.664101839065552
1,5,1292,2107.171599999999,25.958699999999997,9.446200000000003,10.179549932479858
1,5,5439,1865.0318000000102,23.938600000000005,9.7371,12.323898077011108
1,5,1714,1520.5484000000065,25.055200000000006,9.893500000000001,8.280156135559082
1,5,9200,1784.2440999999988,24.258599999999994,9.889431386861316,9.669575929641724
1,5,5804,2203.8738,30.155299999999993,12.642700999999999,9.73387598991394
1,5,3154,1718.1002999999994,23.9805,11.948601,8.838666200637817
1,5,2195,2001.9167,27.01029999999999,12.263001,8.969691038131714
1,5,3042,1784.113700000002,23.06399999999999,8.499999999999996,11.622467994689941
1,5,9808,2102.893799999993,27.176599999999993,10.220176811594207,9.001389980316162
1,5,5407,1745.4435999999976,25.715899999999998,9.853030343007916,7.889206171035767
1,5,3782,1968.8244000000057,25.21130000000001,9.981900999999997,9.611139297485352
1,5,5410,1743.664200000002,25.217899999999993,13.338472727272727,8.13419508934021
1,5,8428,2276.4939999999983,29.86089999999999,9.777032203389831,7.00541615486145
1,5,7236,2132.6502999999943,28.258900000000008,8.757501,7.36538290977478
1,5,2085,1436.3724999999974,23.406600000000005,8.718730104321905,6.038920164108276
1,5,2139,1673.3122000000058,24.3745,8.4017,9.546427249908447
1,5,6801,1968.9201000000085,25.9192,10.035499650756694,8.981702089309692
1,5,6820,2299.2738000000036,32.79240000000001,11.403654223149115,8.596596002578735
1,5,3830,2100.551599999999,25.798599999999983,12.368500000000001,8.325446128845215
1,5,7975,2181.250499999993,29.350399999999993,11.427715789473682,6.629961967468262
1,5,3469,2128.6407000000095,29.1185,11.73564285714286,8.275076866149902
1,5,1454,1618.4021999999993,21.361400000000014,9.534400000000003,8.64249324798584
1,5,2573,1489.8082000000027,21.9113,8.888599999999999,8.771486043930054
1,5,3931,1989.6866999999995,26.02830000000001,9.6279,8.04563307762146
1,5,5445,1933.5411999999972,29.938699999999987,10.393798810939357,6.993500232696533
1,5,5745,2042.1348999999884,29.124399999999994,11.72345944055944,6.770639896392822
1,5,7167,2327.9992000000016,34.56759999999998,11.499430630630629,10.137119054794312
1,5,7597,2515.4768999999856,31.684,11.372670246734394,8.700607299804688
1,5,7005,1516.175700000002,21.4185,8.068899999999998,7.437827110290527
1,5,3239,1903.272300000007,25.50049999999999,10.578504025256514,7.305514097213745
1,5,4331,1815.0980999999983,24.010300000000004,9.557899999999997,7.323974847793579
1,5,5960,2293.543500000011,29.179600000000004,12.488396071829406,8.655225276947021
1,5,1284,2177.401000000001,27.9479,13.205200999999997,7.301860094070435
1,5,2402,2299.9051000000027,30.455300000000005,13.126049258160235,8.802901029586792
1,5,8146,1987.514799999996,25.278700000000015,9.3574,7.842504978179932
1,5,1786,2189.5452999999907,27.741900000000008,11.320201,5.6993889808654785
1,5,8911,2216.3066000000026,29.48,11.252001,8.729520797729492
1,5,7510,1554.810500000004,26.355200000000007,11.528652845528455,5.937029123306274
1,5,6556,1824.0485000000017,24.957699999999992,11.259901000000001,7.924877882003784
1,5,5726,1895.2361000000087,28.898499999999984,9.638650741839763,8.279273748397827
1,5,2935,2036.722499999986,25.671200000000006,9.502899543378994,9.341217041015625
1,5,7223,1771.3553999999951,24.279100000000014,9.5749,7.183311939239502
1,5,1405,1783.6492999999984,25.73170000000001,8.538300000000003,7.485524892807007
1,5,6792,2094.389599999995,27.902699999999992,13.456401000000005,6.460690259933472
1,5,7527,1866.8856000000078,25.137,10.559302395209576,5.826251983642578
1,5,3965,2102.3069999999916,32.41099999999998,10.606451212187242,5.621910810470581
1,5,9686,1826.1649,24.11230000000001,8.1935,5.962004899978638
1,5,2054,1839.2036000000069,22.967699999999997,9.666800000000004,6.961716890335083
1,5,7502,2068.992700000001,27.799400000000006,13.29307651006711,7.695504188537598
1,5,5872,1685.4610999999966,23.921299999999995,10.1781,8.099706888198853
1,5,1751,1847.0644999999986,23.326999999999998,10.065299999999999,8.242340087890625
1,5,5095,1747.4138999999948,20.504600000000018,10.836601000000002,8.253199815750122
1,5,8465,2386.593900000002,31.995399999999993,10.899500000000003,7.075885772705078
1,5,8504,2233.284099999995,30.565999999999995,9.261800000000003,6.443191051483154
1,5,8819,1749.663300000015,24.21249999999997,7.575800000000001,5.976569890975952
1,5,4921,1832.1351999999954,24.703200000000002,13.026944931921332,7.510576009750366
1,10,6347,2105.1305999999986,48.99340000000003,15.471604761904763,5.326833009719849
1,10,7536,1824.0102999999947,42.7289,13.765722281775115,7.432535886764526
1,10,4078,1805.3810000000067,45.36680000000005,13.776301000000002,5.880337953567505
1,10,4726,2105.8566,52.69380000000002,15.381807717041799,6.822484016418457
1,10,5978,2324.386399999999,54.36009999999997,15.509101000000003,8.147842168807983
1,10,8836,2186.879100000002,52.1052,14.019901,7.482527017593384
1,10,3380,2146.015899999999,50.38270000000006,13.956584218512903,6.506930828094482
1,10,3669,2014.9447999999988,54.8889,14.335601000000002,5.20053505897522
1,10,7882,2006.741700000002,47.243000000000016,15.361961567823345,6.2499330043792725
1,10,2503,1831.955700000002,42.84930000000001,15.008402000000002,4.9651288986206055
1,10,5802,2168.4617000000007,51.170700000000004,14.826762093585703,6.625460147857666
1,10,6455,2109.767999999996,51.95700000000002,15.047901000000003,5.458559989929199
1,10,5608,2039.699599999995,48.4083,15.818181553398055,5.970134735107422
1,10,8258,2073.1631000000025,49.466700000000024,14.328600999999997,5.877389907836914
1,10,7486,1939.5008000000037,46.89210000000001,13.071601868239922,5.5405004024505615
1,10,1839,1837.666800000004,42.8819,13.7723627140975,5.015888929367065
1,10,3282,2075.775600000002,48.20229999999996,14.725119575856443,5.815342903137207
1,10,3216,2016.848699999999,49.24910000000003,14.45862012954262,5.8824310302734375
1,10,9034,1666.3907000000006,44.13839999999996,13.848500999999995,4.180011987686157
1,10,7143,1721.3447000000053,45.444999999999936,12.00728571428571,5.4557600021362305
1,10,2446,2127.715100000003,52.274100000000004,14.037594224924016,5.527132987976074
1,10,5924,1946.2591000000002,46.04549999999999,15.843801,5.296578884124756
1,10,8881,1741.106399999994,40.21399999999998,11.746102,5.464306354522705
1,10,6634,1839.704899999988,42.965900000000005,13.06286556836903,5.352254867553711
1,10,3097,2033.8084000000026,48.756699999999995,14.363870154228858,4.473689079284668
1,10,1211,1689.044400000002,41.970300000000016,11.135300000000004,5.3724212646484375
1,10,1921,1877.703200000009,44.2284,12.491802000000002,5.919571876525879
1,10,2740,2042.3488999999981,49.4696,14.402866878980891,7.08268404006958
1,10,3306,1837.3156999999962,45.487799999999986,13.730701000000005,6.082124948501587
