effective_total_vnf_num,multiple_sfc_num,per_sfc_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2139,6957.633099999992,525.7435000000002,62.24499999999999,2.7601218223571777
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,6801,6704.285899999989,510.73799999999994,62.84610000000001,2.364480972290039
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,6820,7637.628499999999,564.8672999999999,60.29410099999998,3.466231107711792
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3830,7595.1965999999975,567.4424000000002,63.38370599999998,1.9829940795898438
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7975,7675.206099999995,566.1397999999998,61.210901,2.414062023162842
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3469,7361.783100000004,543.8326999999999,59.35780000000001,2.823498010635376
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1454,6602.3141,485.38340000000005,58.33280099999999,2.2240259647369385
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2573,6759.093400000005,500.0523,61.368300000000005,3.238301992416382
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3931,6690.2588,512.3779000000001,60.296901999999996,2.7535040378570557
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5445,7184.363699999996,538.7542999999998,60.455302999999994,2.4648709297180176
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5745,7292.210200000002,551.8799000000002,64.39387586,2.254173755645752
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7167,7894.106400000002,595.3408,62.00620100000001,2.5173981189727783
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7597,7946.695899999995,597.7886999999997,62.79110000000001,3.2049789428710938
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7005,6527.953500000004,495.1186,70.92249149999998,2.435497999191284
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3239,7536.619400000002,551.3096999999998,61.57390000000001,2.1978180408477783
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,4331,7133.976599999997,544.8909999999997,61.5596,3.0364489555358887
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5960,7263.3508999999995,544.2953000000005,61.9844,2.2051479816436768
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1284,7194.264500000003,530.6200000000003,65.87840099999998,3.0597870349884033
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2402,7593.591600000003,573.8864,62.650499999999994,2.7144739627838135
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8146,7212.956999999996,549.3014000000002,60.85780099999999,2.7280640602111816
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1786,7679.066299999993,578.0983999999996,61.488800000000005,2.5521318912506104
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,8911,7566.802799999993,573.1420000000002,61.432505,2.7792551517486572
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7510,6922.677499999995,524.4924000000002,58.44792661870503,2.2044928073883057
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,6556,7495.7479000000085,561.1049,61.17740000000001,2.2786738872528076
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,5726,6885.243300000008,511.0507,61.1793,3.1501641273498535
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2935,7228.016600000014,541.6710999999999,58.23050699999996,3.287592887878418
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7223,7458.982899999998,551.5764,60.36800100000001,2.500478982925415
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,1405,6791.349599999996,518.9498000000002,58.292699999999996,2.363306999206543
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,6792,7049.305400000008,541.0822,59.853803000000006,2.4630541801452637
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7527,7916.3044,579.0837999999999,62.075905000000006,1.9992027282714844
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,3965,7264.422700000002,541.9438,58.419002000000006,2.7228102684020996
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,9686,7131.581800000001,539.2281999999999,60.163501,2.2573540210723877
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,2054,6674.270399999998,510.04930000000013,61.44267487999999,2.5483639240264893
160,4,40,1,12,6000,12000,200,500,1000,1000,2000,7502,6830.694900000005,524.1806000000001,59.528503999999984,2.5740158557891846
