bucket_key,seed,is_complete,completed_variants,missing_variants
e11z,455331,True,"baseline,comp_advantage",
e11z,456356,True,"baseline,comp_advantage",
e11z,459404,True,"baseline,comp_advantage",
e11z,460446,True,"baseline,comp_advantage",
e11z,460722,True,"baseline,comp_advantage",
e11z,461796,True,"baseline,comp_advantage",
e11z,461861,True,"baseline,comp_advantage",
e11z,464471,True,"baseline,comp_advantage",
e11z,465345,True,"baseline,comp_advantage",
e11z,466702,True,"baseline,comp_advantage",
e11z,469145,True,"baseline,comp_advantage",
e11z,469556,True,"baseline,comp_advantage",
e11z,472131,True,"baseline,comp_advantage",
e11z,472298,True,"baseline,comp_advantage",
e11z,473253,True,"baseline,comp_advantage",
e11z,473997,True,"baseline,comp_advantage",
e11z,475760,True,"baseline,comp_advantage",
e11z,479068,True,"baseline,comp_advantage",
e11z,479679,True,"baseline,comp_advantage",
e11z,480416,True,"baseline,comp_advantage",
e11z,480957,True,"baseline,comp_advantage",
e11z,481886,True,"baseline,comp_advantage",
e11z,484762,True,"baseline,comp_advantage",
e11z,489107,True,"baseline,comp_advantage",
e11z,492022,True,"baseline,comp_advantage",
e11z,494958,True,"baseline,comp_advantage",
e11z,495401,True,"baseline,comp_advantage",
e11z,495402,True,"baseline,comp_advantage",
e11z,496478,True,"baseline,comp_advantage",
e11z,497919,True,"baseline,comp_advantage",
e11z,502084,True,"baseline,comp_advantage",
e11z,504483,True,"baseline,comp_advantage",
e11z,505780,True,"baseline,comp_advantage",
e11z,509760,True,"baseline,comp_advantage",
e11z,512136,True,"baseline,comp_advantage",
e11z,514215,True,"baseline,comp_advantage",
e11z,516657,True,"baseline,comp_advantage",
e11z,517538,True,"baseline,comp_advantage",
e11z,519815,True,"baseline,comp_advantage",
e11z,522983,True,"baseline,comp_advantage",
e11z,524794,True,"baseline,comp_advantage",
e11z,527611,True,"baseline,comp_advantage",
e11z,528112,True,"baseline,comp_advantage",
e11z,529276,True,"baseline,comp_advantage",
e11z,531148,True,"baseline,comp_advantage",
e11z,531966,True,"baseline,comp_advantage",
e11z,533361,True,"baseline,comp_advantage",
e11z,534010,True,"baseline,comp_advantage",
e11z,534437,True,"baseline,comp_advantage",
e11z,538582,True,"baseline,comp_advantage",
e11z,539246,True,"baseline,comp_advantage",
e11z,540631,True,"baseline,comp_advantage",
e11z,543181,True,"baseline,comp_advantage",
e11z,544493,True,"baseline,comp_advantage",
e11z,546160,True,"baseline,comp_advantage",
e11z,546566,True,"baseline,comp_advantage",
e11z,547920,True,"baseline,comp_advantage",
e11z,549862,True,"baseline,comp_advantage",
e11z,551141,True,"baseline,comp_advantage",
e11z,551935,True,"baseline,comp_advantage",
e11z,554061,True,"baseline,comp_advantage",
e11z,554565,True,"baseline,comp_advantage",
e11z,557554,True,"baseline,comp_advantage",
e11z,560927,True,"baseline,comp_advantage",
e11z,562121,True,"baseline,comp_advantage",
e11z,568701,True,"baseline,comp_advantage",
e11z,572806,True,"baseline,comp_advantage",
e11z,574644,True,"baseline,comp_advantage",
e11z,577361,True,"baseline,comp_advantage",
e11z,579773,True,"baseline,comp_advantage",
e11z,580005,True,"baseline,comp_advantage",
e11z,582309,True,"baseline,comp_advantage",
e11z,583172,True,"baseline,comp_advantage",
e11z,584456,True,"baseline,comp_advantage",
e11z,586398,True,"baseline,comp_advantage",
e11z,586510,True,"baseline,comp_advantage",
e11z,586699,True,"baseline,comp_advantage",
e11z,586973,True,"baseline,comp_advantage",
e11z,591781,True,"baseline,comp_advantage",
e11z,594138,True,"baseline,comp_advantage",
e11z,595079,True,"baseline,comp_advantage",
e11z,595328,True,"baseline,comp_advantage",
e11z,596361,True,"baseline,comp_advantage",
e11z,597825,True,"baseline,comp_advantage",
e11z,598514,True,"baseline,comp_advantage",
e11z,601161,True,"baseline,comp_advantage",
e11z,602873,True,"baseline,comp_advantage",
e11z,605287,True,"baseline,comp_advantage",
e11z,609026,True,"baseline,comp_advantage",
e11z,610245,True,"baseline,comp_advantage",
e11z,610796,True,"baseline,comp_advantage",
e11z,612732,True,"baseline,comp_advantage",
e11z,617269,True,"baseline,comp_advantage",
e11z,624803,True,"baseline,comp_advantage",
e11z,631051,True,"baseline,comp_advantage",
e11z,631173,True,"baseline,comp_advantage",
e11z,631363,True,"baseline,comp_advantage",
e11z,635612,True,"baseline,comp_advantage",
e11z,639065,True,"baseline,comp_advantage",
e11z,643829,True,"baseline,comp_advantage",
e11z,644891,True,"baseline,comp_advantage",
e11z,650122,True,"baseline,comp_advantage",
e11z,650943,True,"baseline,comp_advantage",
e11z,655714,True,"baseline,comp_advantage",
e11z,656054,True,"baseline,comp_advantage",
e11z,661707,True,"baseline,comp_advantage",
e11z,663658,True,"baseline,comp_advantage",
e11z,663813,True,"baseline,comp_advantage",
e11z,664527,True,"baseline,comp_advantage",
e11z,665452,True,"baseline,comp_advantage",
e11z,667073,True,"baseline,comp_advantage",
e11z,670045,True,"baseline,comp_advantage",
e11z,670354,True,"baseline,comp_advantage",
e11z,676170,True,"baseline,comp_advantage",
e11z,677021,True,"baseline,comp_advantage",
e11z,678197,True,"baseline,comp_advantage",
e11z,678641,True,"baseline,comp_advantage",
e11z,682056,True,"baseline,comp_advantage",
e11z,682666,True,"baseline,comp_advantage",
e11z,683805,True,"baseline,comp_advantage",
e11z,687865,True,"baseline,comp_advantage",
e11z,688431,True,"baseline,comp_advantage",
e11z,695034,True,"baseline,comp_advantage",
e11z,697981,True,"baseline,comp_advantage",
e11z,701483,True,"baseline,comp_advantage",
e11z,702028,True,"baseline,comp_advantage",
e11z,703771,True,"baseline,comp_advantage",
e11z,703949,True,"baseline,comp_advantage",
e11z,705866,True,"baseline,comp_advantage",
e11z,707759,True,"baseline,comp_advantage",
e11z,708240,True,"baseline,comp_advantage",
e11z,710115,True,"baseline,comp_advantage",
e11z,712189,True,"baseline,comp_advantage",
e11z,715106,True,"baseline,comp_advantage",
e11z,715533,True,"baseline,comp_advantage",
e11z,719048,True,"baseline,comp_advantage",
e11z,722064,True,"baseline,comp_advantage",
e11z,724036,True,"baseline,comp_advantage",
e11z,724068,True,"baseline,comp_advantage",
e11z,725987,True,"baseline,comp_advantage",
e11z,728140,True,"baseline,comp_advantage",
e11z,729459,True,"baseline,comp_advantage",
e11z,733953,True,"baseline,comp_advantage",
e11z,735633,True,"baseline,comp_advantage",
e11z,737269,True,"baseline,comp_advantage",
e11z,738426,True,"baseline,comp_advantage",
e11z,739336,True,"baseline,comp_advantage",
e11z,739903,True,"baseline,comp_advantage",
e11z,741896,True,"baseline,comp_advantage",
e11z,743312,True,"baseline,comp_advantage",
e11z,743325,True,"baseline,comp_advantage",
e11z,745342,True,"baseline,comp_advantage",
e11z,747287,True,"baseline,comp_advantage",
e11z,747642,True,"baseline,comp_advantage",
e11z,748846,True,"baseline,comp_advantage",
e11z,750147,True,"baseline,comp_advantage",
e11z,751687,True,"baseline,comp_advantage",
e11z,753523,True,"baseline,comp_advantage",
e11z,755547,True,"baseline,comp_advantage",
e11z,758389,True,"baseline,comp_advantage",
e11z,760044,True,"baseline,comp_advantage",
e11z,761499,True,"baseline,comp_advantage",
e11z,762973,True,"baseline,comp_advantage",
e11z,763059,True,"baseline,comp_advantage",
e11z,765827,True,"baseline,comp_advantage",
e11z,766339,True,"baseline,comp_advantage",
e11z,766985,True,"baseline,comp_advantage",
e11z,768859,True,"baseline,comp_advantage",
e11z,769066,True,"baseline,comp_advantage",
e11z,770979,True,"baseline,comp_advantage",
e11z,772641,True,"baseline,comp_advantage",
e11z,774892,True,"baseline,comp_advantage",
e11z,777150,True,"baseline,comp_advantage",
e11z,777731,True,"baseline,comp_advantage",
e11z,782665,True,"baseline,comp_advantage",
e11z,793335,True,"baseline,comp_advantage",
e11z,795054,True,"baseline,comp_advantage",
e11z,796027,True,"baseline,comp_advantage",
e11z,796262,True,"baseline,comp_advantage",
e11z,799339,True,"baseline,comp_advantage",
e11z,800182,True,"baseline,comp_advantage",
e11z,801768,True,"baseline,comp_advantage",
e11z,802904,True,"baseline,comp_advantage",
e11z,810991,True,"baseline,comp_advantage",
e11z,813617,True,"baseline,comp_advantage",
e11z,813854,True,"baseline,comp_advantage",
e11z,818564,True,"baseline,comp_advantage",
e11z,824110,True,"baseline,comp_advantage",
e11z,824466,True,"baseline,comp_advantage",
e11z,824487,True,"baseline,comp_advantage",
e11z,825689,True,"baseline,comp_advantage",
e11z,826006,True,"baseline,comp_advantage",
e11z,827551,True,"baseline,comp_advantage",
e11z,828273,True,"baseline,comp_advantage",
e11z,829835,True,"baseline,comp_advantage",
e11z,830943,True,"baseline,comp_advantage",
e11z,831040,True,"baseline,comp_advantage",
e11z,834777,True,"baseline,comp_advantage",
e11z,838648,True,"baseline,comp_advantage",
e11z,840701,True,"baseline,comp_advantage",
e11z,840905,True,"baseline,comp_advantage",
e11z,842827,True,"baseline,comp_advantage",
e11z,844102,True,"baseline,comp_advantage",
e11z,846854,True,"baseline,comp_advantage",
e11z,846927,True,"baseline,comp_advantage",
e11z,847050,True,"baseline,comp_advantage",
e11z,850253,True,"baseline,comp_advantage",
e11z,853702,True,"baseline,comp_advantage",
e11z,853922,True,"baseline,comp_advantage",
e11z,854725,True,"baseline,comp_advantage",
e11z,855755,True,"baseline,comp_advantage",
e11z,861434,True,"baseline,comp_advantage",
e11z,861602,True,"baseline,comp_advantage",
e11z,861718,True,"baseline,comp_advantage",
e11z,863385,True,"baseline,comp_advantage",
e11z,864824,True,"baseline,comp_advantage",
e11z,867108,True,"baseline,comp_advantage",
