seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,b1_match
7975,86.5890999999999,38.5389,37.10398936605318,3.14461088180542,0.5201,0.0948,0.6149,True
3469,123.78970000000037,40.97,39.6273708172043,3.505831718444824,0.544,0.1074,0.6514,True
1454,75.48639999999983,34.777800000000006,34.168875,3.3849151134490967,0.5897,0.0962,0.6859,True
2573,72.07390000000001,34.9679,33.38258476164983,3.795250177383423,0.5393,0.0911,0.6304,True
3931,78.65719999999995,34.759600000000006,33.07126719817768,3.876732110977173,0.5789,0.1029,0.6818,True
5445,88.60150000000007,42.58989999999999,33.813117126050415,3.632635354995727,0.5735,0.1076,0.6811,True
5745,115.87279999999984,41.7004,39.65384086013986,3.721282958984375,0.5002,0.1078,0.608,True
7167,135.66550000000012,40.233999999999995,40.69227767567568,5.3293821811676025,0.5349,0.1313,0.6662,True
7597,108.11380000000004,36.84510000000001,34.11302864102564,3.9307940006256104,0.5003,0.1113,0.6116,True
7005,87.09549999999996,35.857099999999996,37.34928065843622,3.669975042343139,0.5736,0.1369,0.7105,True
3239,94.2997,34.6682,32.11674416524217,3.3584158420562744,0.607,0.1274,0.7344,True
4331,93.05370000000003,39.560300000000005,45.35974869109948,3.5011918544769287,0.5215,0.102,0.6235,True
5960,101.74180000000032,37.4711,33.09547668319424,3.7016119956970215,0.5443,0.1051,0.6494,True
1284,75.58559999999991,39.61899999999999,38.02895384615385,4.0585777759552,0.5018,0.1224,0.6242,True
2402,112.58079999999998,37.0426,37.295272029673576,4.13878870010376,0.566,0.1199,0.6859,True
8146,60.66010000000007,35.5535,37.38188583816013,4.5784690380096436,0.5173,0.1177,0.635,True
1786,98.50349999999976,42.77,33.00162334387352,3.3489749431610107,0.5388,0.1074,0.6462,True
8911,79.33230000000005,35.383199999999995,30.629962747138396,4.713501214981079,0.5562,0.1038,0.66,True
7510,131.23919999999967,43.06609999999999,43.46814604316546,3.019084930419922,0.5482,0.1154,0.6636,True
6556,109.81480000000008,35.7519,33.153000878734616,4.227741241455078,0.5461,0.1242,0.6703,True
5726,118.24090000000004,41.6576,39.91080089020772,4.254116058349609,0.5446,0.1015,0.6461,True
2935,66.6169,37.9367,37.597133768953086,4.711356163024902,0.525,0.0801,0.6051,True
7223,126.58530000000002,36.052499999999995,34.12259053803339,3.864284038543701,0.5473,0.1253,0.6726,True
1405,132.36779999999993,40.754000000000005,34.008709737827715,3.6816890239715576,0.5672,0.1277,0.6949,True
6792,123.64389999999992,36.815900000000006,33.603907323953464,3.6801750659942623,0.5628,0.1168,0.6796,True
7527,94.55480000000004,38.42199999999999,38.75316463636364,3.326733112335205,0.5918,0.1132,0.705,True
3965,77.35529999999986,34.817600000000006,33.41528599098084,3.521712064743042,0.5593,0.0987,0.658,True
9686,65.96330000000006,33.1643,31.54121303319502,3.497650146484375,0.55,0.1031,0.6531,True
2054,59.153200000000105,37.7321,31.76434644444444,4.1920459270477295,0.5154,0.125,0.6404,True
7502,96.13690000000013,37.355500000000006,41.6497855659164,3.995983839035034,0.5992,0.1138,0.713,True
5872,121.88529999999976,41.92849999999999,36.83635119093851,3.806411027908325,0.4917,0.0986,0.5903,True
1751,113.69939999999988,42.42710000000001,38.42141701597444,4.083697319030762,0.4722,0.0966,0.5688,True
5095,54.38389999999995,35.3307,31.32754007637655,3.627677202224731,0.4904,0.116,0.6064,True
8465,129.67279999999988,40.089000000000006,42.53958632818533,3.8442211151123047,0.5809,0.1242,0.7051,True
8504,94.72709999999988,40.35540000000001,36.721946743145736,4.043126106262207,0.4872,0.1162,0.6034,True
8819,117.66870000000031,35.436600000000006,37.828470782889426,3.609319925308227,0.5151,0.1163,0.6314,True
4921,104.10540000000027,43.8241,43.19465408805032,3.6959710121154785,0.4712,0.11,0.5812,True
