seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,b31_match
1292,51.908400000000064,35.81259999999999,39.193143048694424,4.637124061584473,0.0724,0.058,0.1304,0.014400000000000003,True
5439,67.73650000000005,36.5889,36.588919914953934,4.172927141189575,0.077,0.0813,0.1583,0.004299999999999998,True
1714,72.24860000000005,36.7896,36.19714198305085,3.817739725112915,0.0736,0.0712,0.1448,0.0023999999999999994,True
9200,76.89229999999996,36.2694,36.40262627737226,3.9019389152526855,0.0785,0.0852,0.1637,0.006699999999999998,True
5804,100.5213,48.22579999999999,48.55508026825126,4.09158182144165,0.0799,0.0876,0.1675,0.0076999999999999985,True
3154,99.40210000000008,38.0049,37.65628778877888,3.4755866527557373,0.0712,0.0829,0.1541,0.011700000000000002,True
2195,88.06200000000003,34.2107,33.86835041597338,3.7635209560394287,0.0725,0.0775,0.15,0.0050000000000000044,True
3042,63.7082999999999,36.8735,36.92556951628468,4.34505295753479,0.0766,0.0699,0.1465,0.006699999999999998,True
9808,62.36330000000015,40.2104,40.21038337707787,4.457937717437744,0.079,0.0907,0.1697,0.011700000000000002,True
5407,102.17490000000012,41.8599,41.87190334423408,3.6883339881896977,0.071,0.0679,0.1389,0.0030999999999999917,True
3782,76.3489000000001,34.2745,34.493673609400325,4.598949193954468,0.0699,0.0824,0.1523,0.012499999999999997,True
5410,72.86419999999997,41.82970000000001,41.82967727272728,3.914047956466675,0.07,0.0665,0.1365,0.003500000000000003,True
8428,58.17179999999999,37.2438,35.91292255749129,4.030534267425537,0.0725,0.0727,0.1452,0.00020000000000000573,True
7236,49.82070000000003,41.177200000000006,41.93357288135593,4.038052082061768,0.0639,0.069,0.1329,0.005100000000000007,True
2085,62.64580000000002,29.881099999999996,30.620993802450226,3.187676906585694,0.085,0.0836,0.1686,0.0014000000000000123,True
2139,90.13140000000035,37.8274,36.57245233557046,4.437679052352905,0.0686,0.0668,0.1354,0.001799999999999996,True
6801,70.24619999999999,39.01610000000001,37.1947,4.053505897521973,0.0792,0.0723,0.1515,0.006900000000000003,True
6820,60.639099999999985,45.64249999999999,43.46986513629843,4.842036008834839,0.0661,0.0746,0.1407,0.008499999999999994,True
3830,81.2200000000001,49.5394,50.002588821385174,4.456921815872192,0.072,0.0751,0.1471,0.0031000000000000055,True
7975,65.78190000000001,42.09619999999999,42.94109465079365,3.2925469875335693,0.0692,0.0633,0.1325,0.0059000000000000025,True
3469,91.96439999999988,40.62819999999999,40.654809600337266,4.163352251052856,0.0724,0.0716,0.144,0.000800000000000009,True
1454,62.90920000000005,39.968,41.37552314165498,4.16512393951416,0.0785,0.0641,0.1426,0.014399999999999996,True
2573,56.29310000000009,37.49700000000001,38.094807511737095,3.8815019130706783,0.0718,0.0608,0.1326,0.011000000000000003,True
3931,63.51220000000007,38.96929999999999,37.611766172106826,3.660202980041504,0.077,0.0686,0.1456,0.008400000000000005,True
5445,86.55559999999996,42.75580000000001,44.34315029354208,3.633104085922241,0.0763,0.0719,0.1482,0.004400000000000001,True
5745,93.9780000000002,43.383,43.38301818181818,3.624013185501098,0.0666,0.0719,0.1385,0.005299999999999999,True
7167,107.24400000000028,40.203500000000005,40.59885765765765,4.939985036849976,0.0712,0.0875,0.1587,0.016299999999999995,True
7597,87.72290000000014,40.9665,40.03100287082729,4.1568498611450195,0.0666,0.0742,0.1408,0.007599999999999996,True
7005,89.54360000000011,39.8662,38.48724489574761,3.8255128860473633,0.0764,0.0914,0.1678,0.015,True
3239,72.18839999999983,37.2952,39.1157945945946,3.6694839000701904,0.0808,0.0851,0.1659,0.004299999999999998,True
4331,67.86610000000005,45.4775,42.49026245945945,3.743657350540161,0.0694,0.068,0.1374,0.0013999999999999985,True
5960,81.20860000000023,37.6305,36.966220324005896,3.960951805114746,0.0724,0.0701,0.1425,0.0023000000000000104,True
1284,73.88710000000012,50.2422,50.24217180192572,4.0130391120910645,0.0668,0.0817,0.1485,0.014899999999999997,True
2402,90.96700000000013,39.712599999999995,39.71257032640949,4.70393180847168,0.0753,0.08,0.1553,0.004699999999999996,True
8146,58.322,37.379,36.75001430948419,4.861129999160767,0.0689,0.0785,0.1474,0.009599999999999997,True
1786,71.14769999999997,44.9554,44.955386956521735,3.7863829135894775,0.0717,0.0716,0.1433,0.00010000000000000286,True
8911,80.51170000000005,38.4759,38.47593952451709,4.7247161865234375,0.074,0.0692,0.1432,0.004799999999999999,True
7510,104.24500000000012,41.9353,42.08914585714285,3.012734889984131,0.073,0.0769,0.1499,0.0039000000000000007,True
6556,94.9307999999999,36.94599999999999,33.91130970873786,3.617473125457764,0.0727,0.0829,0.1556,0.0102,True
5726,90.13529999999987,44.3145,45.84902106824926,4.34367299079895,0.0725,0.0677,0.1402,0.004799999999999999,True
2935,57.22640000000008,48.6695,48.67143610108303,5.222389936447144,0.0698,0.0533,0.1231,0.0165,True
7223,101.5828,35.372699999999995,34.45805419847328,3.79219388961792,0.0728,0.0836,0.1564,0.01079999999999999,True
1405,106.44419999999988,33.8855,33.511008988764054,4.392186880111694,0.0755,0.0851,0.1606,0.009599999999999997,True
6792,99.3934999999999,34.267700000000005,33.928631460674154,4.266519069671631,0.0749,0.0779,0.1528,0.0030000000000000027,True
7527,79.64720000000013,41.80790000000002,41.24631212121213,3.7541708946228023,0.0787,0.0755,0.1542,0.0032000000000000084,True
3965,62.77499999999996,35.3997,34.5039479977452,3.761080741882324,0.0744,0.0658,0.1402,0.008599999999999997,True
9686,55.7931999999999,37.38869999999999,37.38871672025723,3.388043165206909,0.0732,0.0687,0.1419,0.004500000000000004,True
2054,50.419699999999985,48.98950000000001,49.01212929171669,4.533313989639282,0.0686,0.0833,0.1519,0.014700000000000005,True
7502,79.78540000000014,40.3824,39.79081039597315,4.641831874847412,0.0798,0.0759,0.1557,0.0039000000000000007,True
5872,93.76779999999997,50.5079,50.76264444444444,4.325782060623169,0.0654,0.0658,0.1312,0.0003999999999999976,True
1751,86.91959999999997,47.1349,47.13487642276423,4.352607011795044,0.0629,0.0644,0.1273,0.0015000000000000013,True
5095,58.95410000000006,34.522,33.71799207419899,3.91436219215393,0.0653,0.0775,0.1428,0.012200000000000003,True
8465,107.06600000000016,43.696200000000005,44.426507732864685,4.136270046234131,0.0773,0.0828,0.1601,0.005500000000000005,True
8504,98.98750000000004,37.063399999999994,35.78320384615384,4.124320030212402,0.0649,0.0775,0.1424,0.0126,True
8819,94.75509999999989,34.4355,34.4354947368421,3.753905057907105,0.0686,0.0775,0.1461,0.008900000000000005,True
4921,84.20470000000006,41.787400000000005,41.44686308623298,3.908430814743042,0.0627,0.0733,0.136,0.010599999999999998,True
