multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,seed,HEFT,DHEFT,NHEFT,time_sec
2,160,320,1,12,6000,12000,200,9034,13954.827200000016,513.8809000000003,102.1489109449704,2.1066322326660156
2,160,320,1,12,6000,12000,200,7143,14076.321000000014,524.2155000000004,97.08027700000001,2.379013776779175
2,160,320,1,12,6000,12000,200,2446,15751.218000000017,592.7402000000002,89.38495099999999,2.0440609455108643
2,160,320,1,12,6000,12000,200,5924,14006.098500000027,531.6639000000004,102.45393846153851,2.113042116165161
2,160,320,1,12,6000,12000,200,8881,13402.562400000032,509.3252999999998,101.25900099999994,3.2661969661712646
2,160,320,1,12,6000,12000,200,6634,14636.14009999999,553.0612999999998,119.75573883783785,2.6223390102386475
2,160,320,1,12,6000,12000,200,3097,14583.817400000014,546.7447999999995,118.08560539560439,2.3382091522216797
2,160,320,1,12,6000,12000,200,1211,13842.7001,522.4037000000004,88.71675113273345,2.3684160709381104
2,160,320,1,12,6000,12000,200,1921,13215.154500000006,518.4444,87.710801,2.2735610008239746
2,160,320,1,12,6000,12000,200,2740,14808.41970000002,553.6438,95.22560100000003,3.096682071685791
2,160,320,1,12,6000,12000,200,3306,13557.101000000026,515.4109000000002,90.30834499999997,2.540473222732544
2,160,320,1,12,6000,12000,200,4366,13784.793499999996,522.6649999999998,102.8700981659919,2.2718589305877686
2,160,320,1,12,6000,12000,200,5455,15670.581700000013,593.1262999999996,132.24875445544552,2.562016010284424
2,160,320,1,12,6000,12000,200,9095,14364.43739999997,530.2955000000002,97.32590589499995,2.221803903579712
2,160,320,1,12,6000,12000,200,8562,14956.841099999987,568.5554000000002,107.76890099999999,2.5808041095733643
2,160,320,1,12,6000,12000,200,9815,12030.954200000011,460.3366999999999,93.25384193548388,2.1037161350250244
2,160,320,1,12,6000,12000,200,1466,14565.098299999989,547.3509000000003,97.96500099999999,3.087144136428833
