repo_bw,seed,HEFT,DHEFT,NHEFT,time_sec
100,7005,20895.670899999972,890.2409000000002,142.060301,7.705848217010498
100,3239,19270.639999999992,890.2882999999997,105.28500100000002,6.317551851272583
100,4331,19373.9152,861.785899999999,92.66823700000002,6.712225914001465
100,5960,19034.254799999988,802.8822000000002,88.05803780246913,8.811671018600464
100,1284,19473.05290000004,851.4222000000003,150.064158,8.091101884841919
100,2402,21876.00549999998,923.7934999999999,115.04310278,8.653748989105225
100,8146,19823.25780000005,841.0238999999993,108.73327907,9.312054634094238
100,1786,20914.553200000057,920.5223000000003,107.394601,6.501070022583008
100,8911,20182.834800000022,879.1600999999998,85.88800099999997,8.084459781646729
100,7510,19748.586000000036,889.1251999999998,134.80630200000002,6.063421010971069
100,6556,21018.84689999998,886.6015,124.14098743279996,7.238504886627197
100,5726,19150.742000000017,800.6679,91.499801,8.04922103881836
100,2935,20110.64490000004,814.7072999999998,82.89197369915496,8.906621217727661
100,7223,22011.225200000034,968.9609999999997,115.44270099999999,6.361736297607422
100,1405,20098.19519999998,854.3007000000002,122.090802,6.587860345840454
100,6792,19889.41599999998,859.3792000000007,99.29401077919998,6.319786071777344
100,7527,20778.01389999995,914.0387000000009,108.12503523031529,6.127032041549683
100,3965,19480.645399999987,871.3785000000004,88.86200700000002,6.5427820682525635
100,9686,18861.681200000014,812.8069999999998,91.62390500000001,6.440338850021362
100,2054,19540.844399999976,835.7509999999999,128.95517282987865,7.355647325515747
100,7502,19488.085800000023,832.8279000000003,92.11393779689598,7.44698429107666
100,5872,19166.010300000034,892.1825,97.431591,7.283876180648804
100,1751,20370.64510000003,856.1684999999999,113.40766459999999,6.978221893310547
100,5095,20340.235899999978,867.6215000000002,112.43889625287355,5.782875061035156
100,8465,21223.899199999993,890.9033000000003,111.30623260234069,7.323755979537964
100,8504,21965.7193,947.2192000000005,109.05360100000001,6.71065616607666
100,8819,22053.615899999964,934.0212999999999,115.44598124169637,5.931785821914673
100,4921,19460.82170000004,845.7169000000006,121.54085511992652,6.5516908168792725
300,6347,6912.5971999999865,304.0975,71.93110792079207,5.300762176513672
300,7536,6145.372200000008,269.8188999999999,68.03958718518518,6.626321792602539
300,4078,6365.986499999991,282.6517,56.673351315068494,4.704054117202759
300,4726,6904.739099999997,307.2547000000001,77.58010199999998,5.770431041717529
300,5978,7502.953199999987,306.73390000000006,70.09376966666666,8.141566038131714
300,8836,7106.264200000018,319.53170000000006,57.34106823666669,7.07009482383728
300,3380,7050.659199999999,311.78069999999997,64.56928658149779,6.209705352783203
300,3669,6203.2581,292.0292,58.63632033333334,5.056384086608887
300,7882,6849.979599999988,299.99450000000036,66.29043533333336,5.993405103683472
300,2503,6384.824300000002,280.3735999999999,81.22908398757767,4.695199012756348
300,5802,6856.4191000000055,306.4742999999999,68.53306146619106,5.15791392326355
300,6455,6540.899000000012,298.72700000000003,58.17352533936652,5.589874982833862
300,5608,7191.590799999999,318.5084,69.50708973690075,5.505929946899414
300,8258,6826.789700000002,295.62270000000024,71.50556966666669,5.634645938873291
300,7486,6520.133199999999,295.63119999999986,67.92722677662807,5.096580982208252
300,1839,6620.533499999987,289.63499999999993,51.910111044959635,5.120357990264893
300,3282,6698.339500000004,280.95420000000007,56.68568680506783,5.811766147613525
300,3216,6393.195999999995,289.4647999999998,59.476103,7.078547239303589
300,9034,6022.082899999992,273.9609999999999,62.758035333333346,4.104793071746826
300,7143,5942.016299999996,269.0382999999998,48.10499187375772,5.091901063919067
300,2446,6717.375699999976,302.7748999999998,54.93026966666666,4.9761669635772705
300,5924,6579.150399999984,288.1395,70.73066966666664,4.722592830657959
300,8881,6281.669699999989,262.71950000000015,54.75102820087338,5.593538999557495
300,6634,6049.0644,263.5280000000001,65.198203,5.4560770988464355
300,3097,6336.322999999977,272.2627000000001,71.58990299999996,4.558729887008667
300,1211,5614.259299999994,253.93000000000006,48.29533237254899,5.710881948471069
300,1921,6819.491799999984,291.1532000000001,60.943671798657746,5.830040216445923
300,2740,6843.753400000002,296.9317,56.30446866666665,7.278421878814697
300,3306,6461.596800000002,288.07929999999976,62.780460778625965,4.827064752578735
300,4366,6900.500300000004,288.0649000000001,66.85448526395938,6.317086935043335
300,5455,7451.633400000005,312.97820000000013,74.95270199999999,6.55241584777832
300,9095,6396.310600000014,276.11459999999994,58.04430200000002,5.3909759521484375
300,8562,7127.205300000017,323.56019999999967,63.94549570899469,5.736153841018677
300,9815,5637.519800000007,259.6496000000001,58.9021577667934,5.638132095336914
300,1466,7002.381399999987,302.49670000000003,61.6308191818182,4.947865724563599
300,8480,7140.8515,296.87470000000013,88.7297363333333,5.532042026519775
300,3792,7032.203700000015,317.4697999999988,58.271669194059264,6.055127859115601
300,4697,6204.453200000003,279.82400000000007,60.93129317481481,5.020846843719482
300,1565,6340.680699999999,293.9315999999998,57.942986435830434,5.579228162765503
300,5891,7189.619199999992,315.58469999999977,103.16060627807487,5.038948059082031
300,8308,6524.4910999999975,291.7694999999998,69.261903,4.956817865371704
300,4257,6904.75210000002,297.4516999999998,69.1149124166667,6.203108787536621
300,5733,6190.420300000003,279.2620000000001,77.08936062068965,5.233189105987549
300,2946,6755.92799999999,295.54449999999974,59.32750200000002,5.712337017059326
300,1292,6160.917400000002,279.8680000000001,46.10216899444443,6.230868816375732
300,5439,6354.146700000006,290.8194,57.517498864111516,7.222520112991333
300,1714,5696.554300000008,262.0037000000001,57.900902,4.774505853652954
300,9200,6127.592300000008,281.0200000000001,76.38720622580647,5.5133302211761475
300,5804,6643.705900000013,296.0558000000005,79.31046866666665,5.4076268672943115
300,3154,5950.50079999999,264.71659999999997,82.96557166666663,5.185535907745361
300,2195,6199.863200000007,281.1138999999994,78.2528710607735,4.86749792098999
300,3042,7225.171799999999,322.32489999999996,49.09470099999997,4.9534711837768555
300,9808,6653.187199999972,280.60069999999996,68.70264337664348,5.466210126876831
300,5407,6446.83570000001,274.7279,64.04007308433734,4.977625846862793
300,3782,7045.3216,307.40229999999997,63.254073918542346,4.828984975814819
300,5410,5825.814100000003,265.88800000000003,73.85352599999999,4.765729904174805
300,8428,6734.167300000011,304.43119999999936,57.29226866666668,4.218048095703125
300,7236,6950.064699999991,306.8984,58.460535333333354,4.26835298538208
300,2085,5614.321400000014,283.1994999999997,69.72854925738397,3.200778007507324
300,2139,6027.242100000002,288.8271000000001,54.98715335135134,4.64417576789856
300,6801,6280.230599999999,273.1162,63.89616966666667,4.638779878616333
300,6820,6878.868199999998,308.86940000000016,61.9826875739645,5.251745700836182
300,3830,7558.008600000021,318.1306999999998,70.16486663108805,4.067376136779785
300,7975,6486.66540000001,291.47130000000004,54.15605601459855,3.6550912857055664
300,3469,7064.56480000001,311.7642999999999,62.848503,4.344155788421631
300,1454,5871.309000000003,264.6354999999999,52.36112735424356,4.723116874694824
300,2573,6097.099500000012,270.7580000000002,50.658615,4.093065023422241
300,3931,6508.431600000007,310.72600000000017,52.89894172094685,4.002482891082764
300,5445,6572.6528000000135,282.6874999999999,59.61679279771175,4.020277976989746
