seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,b5_match
9095,340.57700000000006,62.9781,44.02856306861989,3.881057024002075,0.4863,0.3776,0.8639,0.10870000000000002,False
8562,251.6143,59.6526,55.100647021140304,4.00652003288269,0.549,0.5485,1.0975,0.000500000000000056,True
9815,186.68440000000004,47.62359999999999,45.363275933970456,3.512265205383301,0.5469,0.4499,0.9968,0.09700000000000003,False
1466,276.3917999999999,61.354099999999995,50.82892315806148,3.92856502532959,0.4854,0.4499,0.9353,0.035499999999999976,False
8480,518.0712000000005,68.17089999999999,50.76374251539011,4.1222100257873535,0.5832,0.5866,1.1698,0.0033999999999999586,True
3792,234.97900000000035,56.708699999999986,46.78714137039432,3.830427885055542,0.5294,0.4898,1.0192,0.03959999999999997,False
4697,204.57019999999997,58.8955,51.86001359294638,3.410428285598755,0.5338,0.4428,0.9766,0.09100000000000003,False
1565,336.88450000000046,57.39150000000002,51.32010712820512,3.5016090869903564,0.542,0.3946,0.9366,0.14740000000000003,False
5891,571.7803000000004,71.79769999999998,64.18951778947368,3.6535041332244873,0.5322,0.5715,1.1037,0.0393,False
8308,209.25620000000043,56.667099999999984,52.2142583804143,3.5067026615142822,0.4721,0.4931,0.9652,0.020999999999999963,False
4257,417.2897000000003,65.0655,47.0667,3.886240959167481,0.4971,0.4492,0.9463,0.0479,False
5733,236.99629999999985,59.4719,47.930299777857655,3.3569819927215576,0.483,0.4906,0.9736,0.007599999999999996,False
2946,260.61979999999943,52.82790000000001,40.29446762246117,3.763571977615357,0.5562,0.4459,1.0021,0.11030000000000001,False
1292,215.82499999999973,49.33259999999999,41.318771835194624,3.770985841751098,0.5156,0.36,0.8756,0.15559999999999996,False
5439,221.43209999999988,51.412,43.28539844760674,3.744785785675049,0.5487,0.5054,1.0541,0.043300000000000005,False
1714,394.4227000000002,58.5247,53.229244505066255,3.3745760917663574,0.5239,0.4411,0.965,0.08280000000000004,False
9200,324.16069999999996,62.1293,46.4305720296736,3.4711549282073975,0.5594,0.5299,1.0893,0.02949999999999997,False
5804,255.9992999999998,66.06700000000001,55.854848159826595,3.816230297088623,0.5695,0.5452,1.1147,0.02429999999999999,False
3154,200.53500000000037,62.307599999999994,54.8172465648855,3.1653120517730713,0.507,0.5132,1.0202,0.006199999999999983,True
2195,505.0580999999995,60.248999999999995,56.04427770382696,3.355574131011963,0.5163,0.4821,0.9984,0.03420000000000001,False
3042,286.8955999999996,51.1905,48.12745668265935,3.812088966369629,0.546,0.4368,0.9828,0.10920000000000002,False
9808,285.81230000000005,49.93130000000001,40.83395217391304,4.1005730628967285,0.5631,0.5641,1.1272,0.0010000000000000009,True
5407,274.2622999999993,63.33050000000001,49.861962747342275,3.2012619972229004,0.5055,0.4214,0.9269,0.08409999999999995,False
3782,264.5870000000001,49.66110000000001,41.71021873571187,3.7427570819854736,0.4978,0.5154,1.0132,0.01759999999999995,True
5410,414.22020000000026,59.00849999999999,63.43695654545454,3.5538041591644287,0.4982,0.4117,0.9099,0.08649999999999997,False
8428,245.77630000000016,52.56139999999999,39.95221023308698,3.5518229007720947,0.5163,0.4532,0.9695,0.06309999999999999,False
7236,199.6366999999996,50.69699999999999,44.77445555555555,3.597828149795532,0.4553,0.431,0.8863,0.02429999999999999,False
2085,214.2304000000004,51.03049999999999,43.70877403754267,2.617910861968994,0.606,0.5186,1.1246,0.08740000000000003,False
2139,250.95880000000048,54.83879999999999,47.19515057115919,3.771647930145264,0.4888,0.416,0.9048,0.07280000000000003,False
6801,362.1638000000001,58.221500000000006,45.5183608091024,3.553072690963745,0.5641,0.4484,1.0125,0.11570000000000003,False
6820,239.40630000000007,57.6152,48.052921135312104,4.057068824768066,0.4712,0.465,0.9362,0.006199999999999983,False
3830,477.9456999999995,75.49459999999999,56.2985,3.484644889831543,0.5132,0.469,0.9822,0.04420000000000002,False
7975,202.07019999999983,52.89870000000001,46.92405363157895,2.9672420024871826,0.4933,0.3935,0.8868,0.0998,False
3469,324.91380000000066,68.34919999999998,49.66355787678556,3.426075220108032,0.5158,0.4469,0.9627,0.06890000000000002,False
1454,338.1059000000006,57.65110000000001,46.940388689407534,3.403538942337036,0.5591,0.397,0.9561,0.16210000000000002,False
2573,243.65519999999975,54.821200000000005,42.35734929178471,3.2344160079956055,0.5114,0.3772,0.8886,0.13419999999999999,False
3931,270.5772000000003,61.40269999999998,53.50519772209566,3.5620081424713135,0.549,0.4277,0.9767,0.12130000000000002,False
5445,252.1490999999998,58.79559999999999,53.964785898929854,3.451192855834961,0.5438,0.446,0.9898,0.09779999999999994,False
5745,372.4979999999992,65.31539999999998,61.448624257083615,3.315643310546875,0.4742,0.4458,0.92,0.028400000000000036,False
7167,348.5397,61.8353,57.459761943319826,4.7589333057403564,0.5072,0.5447,1.0519,0.03749999999999998,False
7597,243.8205000000006,54.77889999999999,51.21362664647993,3.96541690826416,0.4745,0.4639,0.9384,0.010599999999999998,False
7005,234.05539999999985,60.661199999999994,47.968799257790245,3.547875165939331,0.5437,0.5685,1.1122,0.024800000000000044,False
3239,248.9411000000006,52.8777,43.44392211404728,3.3469388484954834,0.5755,0.53,1.1055,0.045499999999999985,False
4331,296.9235000000001,58.6698,60.05167086597737,3.3732001781463623,0.4944,0.4227,0.9171,0.07169999999999999,False
5960,336.9881999999997,63.20680000000001,45.9371500736377,3.732300758361816,0.5159,0.4348,0.9507,0.0811,False
1284,220.4911999999999,57.35470000000001,54.35367565337002,3.786265134811402,0.4759,0.5075,0.9834,0.03159999999999996,False
2402,378.3158999999998,62.7047,54.27615786350148,3.797996997833252,0.5368,0.4995,1.0363,0.037300000000000055,False
8146,231.4309999999995,53.276700000000005,43.46061078026083,4.580944299697876,0.4904,0.4875,0.9779,0.0029000000000000137,False
1786,291.97569999999996,60.561000000000014,43.2040407579273,3.4033968448638916,0.5108,0.4467,0.9575,0.06410000000000005,False
8911,243.98940000000047,54.00390000000001,46.47899533070933,4.221343994140625,0.5272,0.4308,0.958,0.09639999999999999,False
7510,481.4746999999996,75.51740000000001,60.51207560975608,2.7923691272735596,0.5197,0.4791,0.9988,0.040600000000000025,False
6556,208.3964,51.4191,45.80202500375802,3.359998941421509,0.5174,0.5159,1.0333,0.0014999999999999458,True
5726,267.0987000000002,60.74050000000001,58.18937607418398,4.098468065261841,0.5166,0.4197,0.9363,0.09689999999999993,False
2935,249.74510000000012,57.2274,57.471473685539415,4.5059521198272705,0.4977,0.331,0.8287,0.16669999999999996,False
7223,274.94329999999997,54.36610000000001,49.34338047138046,3.793934822082519,0.5192,0.5231,1.0423,0.0039000000000000146,True
1405,204.17260000000044,52.2116,50.07751647940074,3.715033054351806,0.5379,0.5295,1.0674,0.008400000000000074,True
6792,316.6569000000003,57.67260000000002,53.934304424778766,3.848149061203003,0.5337,0.4847,1.0184,0.04899999999999993,False
7527,299.4127999999998,62.43350000000001,46.92223413173653,3.14493989944458,0.5612,0.4709,1.0321,0.09030000000000005,False
3965,354.0448000000003,56.487300000000005,43.82397410924369,3.411897659301758,0.5303,0.4097,0.94,0.12059999999999998,False
9686,275.0760000000006,52.345499999999994,40.45079896153612,3.1399049758911133,0.5214,0.4265,0.9479,0.09489999999999998,False
2054,193.0245,52.01719999999999,49.14530852340936,3.7413980960845943,0.4887,0.5184,1.0071,0.02969999999999995,False
7502,427.8473999999996,60.84300000000001,54.07461314475873,3.952980995178222,0.5683,0.4716,1.0399,0.09670000000000001,False
5872,241.4362999999998,64.04849999999999,58.64924765674552,3.661965131759643,0.4663,0.4098,0.8761,0.056499999999999995,False
1751,198.3321000000001,55.5919,55.591901775147925,3.709289073944092,0.4478,0.4005,0.8483,0.04729999999999995,False
5095,204.6639999999998,45.59500000000001,41.57093220189462,3.4570181369781494,0.4649,0.4817,0.9466,0.016800000000000037,False
8465,262.3538999999996,64.246,53.24085600485907,3.9098129272460938,0.5508,0.5163,1.0671,0.034499999999999975,False
8504,417.3090000000001,62.8512,48.061267676767685,3.7435710430145264,0.462,0.4848,0.9468,0.022799999999999987,False
8819,231.09290000000075,56.447,45.512655555555554,3.5915679931640625,0.4884,0.484,0.9724,0.004400000000000015,False
4921,476.3449000000005,62.892300000000006,51.61814434294331,3.648146867752075,0.447,0.4561,0.9031,0.009099999999999997,False
