repository_bw,multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,3097,3128.4703000000018,197.21279999999996,38.31446866666667,30.881458044052124
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,1211,3074.948600000001,191.56589999999997,29.651357555555556,23.395898818969727
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,1921,3175.363599999997,202.48949999999994,31.20566140888889,5.424515724182129
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,2740,3259.295499999995,203.9765999999999,36.246568666666654,34.51208686828613
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,3306,3178.298100000006,201.1903000000001,36.623917166666665,10.240085124969482
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,4366,3173.1025999999974,203.6091999999999,35.66788244642857,9.041724920272827
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,6347,3258.5728000000004,204.94830000000005,35.23173533333334,4.151849985122681
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,7536,3094.562600000001,196.34829999999997,34.09528309028961,3.871695041656494
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,4078,3159.045800000001,199.5598,31.26535636385506,6.303118944168091
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,4726,3265.0162999999993,207.78619999999995,37.295045995464854,4.4669880867004395
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,5978,3264.4788000000003,206.96189999999996,35.33911873666667,3.8723208904266357
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,8836,3316.3986,210.5555,30.8090558565921,4.352370262145996
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,3380,3285.515699999998,207.47569999999993,33.85408266592592,4.560365200042725
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,3669,3185.4416000000006,202.3798,33.065258839689626,3.8443660736083984
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,7882,3233.025499999998,204.34839999999997,29.4987478164794,5.377081871032715
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,2503,3154.752900000007,201.29589999999993,37.56313633333334,3.4299330711364746
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,5802,3281.7920999999965,207.71079999999986,29.83694479166667,4.005519866943359
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,6455,3242.8680999999965,204.02790000000005,32.475004965930864,4.426181793212891
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,5608,3299.8081999999995,212.97,34.448568666666674,4.548518896102905
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,8258,3213.728500000005,203.4246,34.072102,4.624056100845337
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,7486,3212.3050999999964,206.31700000000015,35.06029985648149,4.876543045043945
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,1839,3199.9199999999983,202.41860000000005,31.170451076646682,4.5646071434021
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,3282,3163.8068000000058,199.275,33.21022251440233,5.659027814865112
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,3216,3195.943000000007,201.44840000000002,34.314402,4.491377115249634
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,9034,3159.907499999999,198.74399999999997,31.490951735449734,3.5545809268951416
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,7143,3111.234800000002,197.81619999999995,30.596558445315566,4.447972774505615
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,2446,3257.2702999999983,206.43439999999998,31.495368139629637,4.161948919296265
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,5924,3175.5186999999996,200.95599999999996,33.524068666666665,4.206386089324951
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,8881,3096.057100000002,194.74250000000004,34.63620200000001,5.6920881271362305
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,6634,3082.046099999998,195.30489999999998,34.73516866666667,4.055014133453369
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,3097,3128.482500000003,198.4357,36.40547028922051,4.37478494644165
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,1211,3074.9369999999994,191.91250000000008,28.601135677873845,3.822965145111084
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,1921,3175.3791999999967,201.95789999999997,31.630410666666663,3.936558961868286
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,2740,3259.2867999999976,204.56710000000004,29.545302,5.497273206710815
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,3306,3178.2723000000046,200.5753,36.48076866666666,4.295663118362427
600,2,160,320,1,20,5000,7000,500,1000,1000,2000,4366,3173.090099999997,202.00179999999997,31.120997333333328,4.142771005630493
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,6347,3258.5731000000014,205.4419000000001,32.89050200000001,3.9957220554351807
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,7536,3094.5576000000015,197.50439999999992,33.99676213628619,3.2900280952453613
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,4078,3159.033700000002,200.10829999999993,31.243090152685188,3.3576910495758057
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,4726,3264.9809000000014,207.36480000000003,33.49476833333334,3.5326480865478516
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,5978,3264.4763000000025,205.37860000000012,32.99956866666667,3.8311941623687744
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,8836,3316.390600000001,209.04330000000004,30.911138969711782,4.1236042976379395
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,3380,3285.531199999997,208.63160000000002,32.18375106796116,3.8717589378356934
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,3669,3185.4108000000015,201.86169999999998,27.32079693495935,3.5391459465026855
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,7882,3233.0203999999962,204.10210000000004,33.596302,3.616663932800293
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,2503,3154.765000000003,200.01010000000028,36.72625857575758,3.185264825820923
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,5802,3281.799099999996,207.64200000000008,29.329338274814823,3.6860930919647217
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,6455,3242.8639999999996,205.5289,31.565623394830485,3.874229907989502
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,5608,3299.8026999999993,212.6386,34.046202,3.9365997314453125
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,8258,3213.71790000001,203.49370000000013,30.988027291828793,4.171039819717407
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,7486,3212.2965999999965,204.14759999999987,27.783280104477615,3.6755828857421875
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,1839,3199.924399999998,202.41729999999995,31.544480994613544,3.149888038635254
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,3282,3163.803000000007,199.0806,31.33303101851851,4.012170076370239
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,3216,3195.9463000000032,201.1349,29.78087512186978,4.137254953384399
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,9034,3159.8949999999977,198.83980000000008,31.109102,3.2401580810546875
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,7143,3111.234000000002,198.27499999999995,26.867317666666672,3.1852402687072754
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,2446,3257.267499999993,206.80250000000004,29.08124668111111,3.8286778926849365
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,5924,3175.4956999999995,202.66950000000006,34.134502,3.2825729846954346
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,8881,3096.0585000000033,195.72439999999992,30.04725025407408,3.4044859409332275
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,6634,3082.036999999997,195.11749999999992,31.475168666666665,3.7739782333374023
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,3097,3128.4784000000022,198.19159999999994,33.098523208333326,3.0129940509796143
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,1211,3074.9400999999984,191.20759999999993,25.619260814814815,3.458341121673584
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,1921,3175.3686999999973,202.07750000000004,30.406965370370376,3.34336519241333
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,2740,3259.2771999999977,203.547,29.45646585281385,4.585844993591309
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,3306,3178.272600000003,201.5360999999999,32.7018505,3.7607712745666504
600,4,80,320,1,20,5000,7000,500,1000,1000,2000,4366,3173.088,201.24929999999995,31.83586133342292,3.7548747062683105
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,6347,3258.5619000000015,204.9795000000001,31.64031943893334,3.2028322219848633
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,7536,3124.080400000002,196.12230000000008,30.697391948892683,4.073846101760864
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,4078,3159.036000000002,202.2773,28.876619370370364,3.765018939971924
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,4726,3264.9930000000013,209.31420000000003,32.76806866666666,3.815493106842041
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,5978,3264.446700000003,206.18110000000001,31.478594833333332,3.8984158039093018
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,8836,3316.385799999999,208.54930000000002,28.023536555555555,4.0338640213012695
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,3380,3285.5167999999994,207.46710000000002,30.42481809329352,3.4941959381103516
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,3669,3185.4104000000016,203.12439999999987,26.6461292037037,3.0840871334075928
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,7882,3233.017699999997,203.8349999999999,30.358935333333346,3.390002965927124
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,2503,3154.756800000002,200.64660000000003,35.247435333333335,3.4324560165405273
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,5802,3281.794199999995,205.9322999999999,27.109015041666662,3.1575429439544678
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,6455,3242.8731999999995,204.3902,27.444242296296295,3.817262887954712
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,5608,3299.8075999999987,211.99479999999974,34.05769348656297,3.2310500144958496
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,8258,3213.7126000000067,202.9127,31.765702,3.5710160732269287
600,8,40,320,1,20,5000,7000,500,1000,1000,2000,7486,3212.300999999997,204.50859999999992,29.511075245833332,3.5487220287323
