vnf_image_size_min,vnf_image_size_max,seed,HEFT,DHEFT,NHEFT,time_sec
1000,3000,8480,8305.96970000001,338.4200000000001,67.32856431975306,6.583631992340088
1000,3000,3792,8275.124000000013,370.0321,47.10788682166667,5.336998224258423
1000,3000,4697,7150.55939999999,321.5094000000001,51.055096267419955,6.8606116771698
1000,3000,1565,7349.640099999995,340.64590000000015,51.903529927777775,6.6197168827056885
1000,3000,5891,8430.326099999991,365.54470000000003,76.54464253981482,6.244840860366821
1000,3000,8308,7574.5328,331.0185000000001,64.21135204166666,6.191887140274048
1000,3000,4257,8057.151900000003,346.4951,57.306296425925964,6.9407758712768555
1000,3000,5733,7165.076500000007,321.51330000000013,60.511702,6.146290063858032
1000,3000,2946,7872.044800000004,342.3789,47.11766851629941,7.298928737640381
1000,3000,1292,7126.061199999997,323.51490000000007,35.1117,7.0441529750823975
1000,3000,5439,7376.160399999987,337.98619999999994,53.50543433333333,7.894648790359497
1000,3000,1714,6541.289000000008,298.38290000000006,49.11277966666667,6.246068954467773
1000,3000,9200,7104.354900000011,324.7466999999999,61.37906866666666,5.860647916793823
1000,3000,5804,7737.377699999999,341.38940000000014,64.91492388121344,7.554899215698242
1000,3000,3154,6822.149400000005,299.8773,69.82093633333332,7.8585309982299805
1000,3000,2195,7192.227699999994,320.2107000000003,57.262267718026614,7.412914752960205
1000,3000,3042,8506.88520000001,378.5781000000001,44.115023344170474,7.155267000198364
1000,3000,9808,7723.627200000007,319.49170000000004,58.868500999999995,8.640015840530396
1000,3000,5407,7436.524599999998,316.47700000000003,48.072700999999995,7.4934680461883545
1000,3000,3782,8280.890700000033,359.8040000000001,50.76755987037038,7.73751425743103
1000,3000,5410,6667.531599999995,298.5816000000001,51.20819729544894,7.735753059387207
1000,3000,8428,7871.843099999999,353.5632999999998,49.430967666666675,6.923739194869995
1000,3000,7236,8138.2427,358.12890000000004,48.49871911666669,8.926470041275024
1000,3000,2085,6466.1483999999855,322.9991000000003,50.904249826086954,5.59185004234314
1000,3000,2139,6980.933999999996,332.9772000000002,44.62277487993681,6.0060670375823975
1000,3000,6801,7241.408900000004,314.02670000000006,50.014691990991,7.918723106384277
1000,3000,6820,8055.651500000014,359.39259999999956,54.14611373168479,8.652748107910156
1000,3000,3830,8896.860300000011,380.0614,58.68065698861112,6.569339990615845
1000,3000,7975,7550.543899999994,337.83270000000016,43.153751515151505,5.361925840377808
1000,3000,3469,8277.927899999991,361.20640000000014,44.908187111111125,6.759864807128906
1000,3000,1454,6742.4071,303.5953,43.28233433333333,5.968436002731323
1000,3000,2573,7033.326400000002,313.4493999999999,37.14971668210866,6.065938234329224
1000,3000,3931,7618.716599999999,362.92680000000024,43.52474821311475,7.080466270446777
1000,3000,5445,7617.81030000003,324.5509,52.892578066666665,6.560766935348511
1000,3000,5745,7126.55849999998,320.9531,62.49533533333332,7.158056020736694
1000,3000,7167,8180.612300000033,342.21580000000006,64.64411399691357,7.403862953186035
1000,3000,7597,8376.564199999995,357.7342999999998,54.96016278434017,6.940960884094238
1000,3000,7005,8114.428699999978,350.00929999999977,69.45584420623501,6.445262670516968
1000,3000,3239,7507.366099999994,348.6162,53.77597322222222,6.4681501388549805
1000,3000,4331,7501.769199999997,336.35719999999986,48.73535638095238,6.360713958740234
1000,3000,5960,7315.618299999998,310.8325000000004,46.677060082030955,8.087684869766235
1000,3000,1284,7529.914999999997,331.9715999999999,78.47016966666666,7.1944661140441895
1000,3000,2402,8557.253799999993,362.3935000000003,58.54006866666668,7.683203935623169
1000,3000,8146,7657.64219999998,327.06770000000006,52.51516111386594,7.659139156341553
1000,3000,1786,8177.406700000007,362.0238999999999,52.062760986964605,5.962268114089966
1000,3000,8911,7839.158099999987,343.51759999999996,41.795320832074786,7.331480264663696
1000,3000,7510,7687.697099999996,347.94669999999996,62.69546986666665,5.321697950363159
1000,3000,6556,8173.058099999998,347.20529999999985,61.97517412882527,7.293431043624878
1000,3000,5726,7355.068500000007,308.87959999999987,44.722533880645926,7.333417892456055
1000,3000,2935,7739.196699999988,315.1732999999998,40.96271825844749,8.835400819778442
1000,3000,7223,8654.246200000007,383.1563999999997,59.19316766666667,6.234955072402954
1000,3000,1405,7771.1812000000045,332.6576,61.51063533333331,7.031635046005249
1000,3000,6792,7709.990799999976,334.62530000000004,50.99221966666668,5.45569920539856
1000,3000,7527,8110.826399999994,361.44989999999973,49.538118367841776,5.219582796096802
1000,3000,3965,7565.9501999999975,341.0594999999999,42.022234000000005,5.897612810134888
1000,3000,9686,7263.8221999999905,314.5986000000002,43.162300999999985,4.850865840911865
1000,3000,2054,7559.438900000032,324.3952000000001,62.8710613307922,6.086413145065308
1000,3000,7502,7518.968700000003,324.47730000000007,49.74966766666667,6.345150947570801
1000,3000,5872,7452.377800000012,349.2815,48.07714110833334,6.227403879165649
